Team,Group,Win,Finals,Semis,"Quarter
Finals","Win
Group","Qualify from
Group"
Spain,H,450,225,110,-155,-475,-10000
France,I,450,275,130,-135,-215,-5000
England,L,750,320,160,-135,-280,-10000
Portugal,K,800,450,200,Even,-190,-5000
Argentina,J,10-1,450,200,-115,-265,-10000
Brazil,C,11-1,400,250,-110,-230,-10000
Germany,E,14-1,600,275,150,-370,OFF
Netherlands,F,16-1,900,400,170,120,-1400
Norway,I,35-1,12-1,500,225,275,-900
Morocco,C,35-1,12-1,550,250,240,-2000
Belgium,G,40-1,12-1,500,160,-245,-3500
United States,D,40-1,14-1,600,180,-230,-10000
Colombia,K,50-1,14-1,650,250,190,-1000
Mexico,A,50-1,20-1,750,250,-185,-10000
Japan,F,55-1,22-1,11-1,400,250,-650
Uruguay,H,65-1,20-1,650,300,400,-1000
Switzerland,B,80-1,30-1,850,275,110,-750
Croatia,L,90-1,25-1,10-1,400,320,-500
Sweden,F,100-1,35-1,11-1,500,210,-5000
Ecuador,E,100-1,40-1,14-1,500,12-1,-400
Senegal,I,100-1,40-1,18-1,600,750,-230
Turkey,D,110-1,35-1,14-1,650,700,-120
Austria,J,150-1,40-1,16-1,700,370,-500
Ivory Coast,E,150-1,40-1,18-1,650,300,-5000
South Korea,A,200-1,65-1,18-1,550,190,-2500
Australia,D,200-1,65-1,20-1,750,300,-700
Scotland,C,200-1,80-1,25-1,800,550,-575
Canada,B,250-1,50-1,14-1,450,160,-1000
Egypt,G,300-1,80-1,30-1,900,400,-340
Ghana,L,300-1,80-1,30-1,12-1,11-1,-140
Bosnia and Herzegovina,B,300-1,150-1,40-1,11-1,450,-310
Algeria,J,350-1,65-1,20-1,800,800,-310
Paraguay,D,400-1,80-1,30-1,12-1,28-1,130
Czechia,A,500-1,120-1,40-1,900,10-1,-165
Tunisia,F,600-1,500-1,100-1,65-1,65-1,650
Iran,G,700-1,100-1,40-1,10-1,650,-200
Congo DR,K,1000-1,150-1,40-1,16-1,14-1,Even
Saudi Arabia,H,1000-1,250-1,80-1,22-1,30-1,105
Panama,L,1000-1,250-1,100-1,30-1,40-1,200
Qatar,B,1000-1,250-1,200-1,40-1,30-1,200
Cape Verde,H,1000-1,1000-1,250-1,50-1,60-1,200
Uzbekistan,K,1500-1,300-1,100-1,35-1,35-1,180
New Zealand,G,1500-1,300-1,250-1,40-1,20-1,150
Iraq,I,1500-1,400-1,100-1,65-1,80-1,450
South Africa,A,1500-1,500-1,200-1,35-1,80-1,320
Jordan,J,2500-1,500-1,250-1,50-1,50-1,350
Curacao,E,2500-1,1000-1,500-1,150-1,500-1,25-1
Haiti,C,2500-1,1000-1,800-1,300-1,250-1,14-1
